id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
370,Hafez al-Assad,Person,https://vi.wikipedia.org/wiki/Hafez_al-Assad,,,,,,,,,,,,,,,,,,,,,,,,,Học viện Quân sự Homs,,,,,,,,,,,,,,,,,,,,,,,,,,Sĩ quan Không quân,,,,Không quân Syria; Lực lượng Vũ trang Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushra al-Assad; (sinh 1960); Bassel al-Assad; (1962–1994); Bashar al-Assad; (sinh 1965); Majd al-Assad; (1966–2009); Maher al-Assad; (sinh 1968),,,,,,,,,,,,,,,Đại tướng,Abdullah al-Ahmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mustafa Tlass,,,,,,,,,,,,,,,,,,,,,,,"10 tháng 6 năm 2000; (2000-06-10); (69 tuổi); Damas; ,; Syria",,,,,Chính khách,,,,,,,,,,,,,,,,,,,,,,,,,,1952–1972,"Qardaha , Syria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xem danh sách Mahmoud al-Ayyubi (1971–1974) Rifaat al-Assad (1984–1998) Abdul Halim Khaddam,,,,,,,,,,,,,Aniseh (née Makhluf),,,Không quân Syria; Lực lượng Vũ trang Syria,,Jamil al-Assad Rifaat al-Assad,,,,,,,,,,,,,,"Hafez ibn 'Ali ibn Sulayman al-Assad; (; 1930-10-06; ); 6 tháng 10 năm 1930; Qardaha; ,; Quốc gia Alawite; ,; Syria thuộc Pháp",,,,,,,,,,,Chiến tranh Sáu ngày (1967) Chiến tranh tiêu hao (1967–1970) Tháng Chín Đen ở Jordan (1970–1971),,Syria,,,,,,,,,,,,,,,,,,,Xem danh sách Yusuf Zuaiyin (1966–1968) Nureddin al-Atassi (1968–1970) Himself (1970–1971) Abdul Rahman Kleifawi,,,,,Muhammad Umran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xem danh sách Nureddin al-Atassi (1966–1970) Ahmad al-Khatib (1970–1971) Bản thân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,đảng Ba'ath (từ năm 1966),Đảng Ba'ath (1947–1966) Đảng Xã hội chủ nghĩa Ả Rập Ba'ath (1946–1947),,,,,,,,,,,,,,,,
371,H3h3Productions,Person,https://vi.wikipedia.org/wiki/H3h3Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Các nút Play 100.000 lượt đăng ký 2015 [ 1 ] 1.000.000 lượt đăng ký 2016 [ 2 ],,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Santa Cruz; (Ethan); Shenkar College of Engineering and Design; (Hila)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filthy Frank iDubbbz Jacksepticeye JonTron Justin Roiland PewDiePie Phillip DeFranco Post Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23 triệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-nay,,,,,,,"Los Angeles , California , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,người Mĩ (Ethan) người Israel (Hila),,,,,,"Ethan Edward Klein; 24 tháng 6, 1985; (40 tuổi); Ventura, California; , Hoa Kỳ; Hila Hakmon; 12 tháng 12, 1987; (37 tuổi); Holon; ,; Israel",,,,,,,,,,,,,,,,,,,,,,,,Hài kịch Châm biếm reaction vlog,,,,,,,,,,,,,,,h3h3productions .com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23 tỷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Hailemariam Desalegn,Person,https://vi.wikipedia.org/wiki/Hailemariam_Desalegn,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Addis Ababa; Đại học Arba Minch; Đại học Công nghệ Tampere; Đại học Thái Bình Dương Azusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demeke Mekonnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Ould Abdel Aziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Tesfaye [ 1 ],,,,,,,,,,,,,,,,,,,"19 tháng 7, 1965; (60 tuổi); Boloso Sore; ,; Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meles Zenawi,,,,,Yayi Boni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girma Wolde-Giorgis; Mulatu Teshome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phong trào Dân chủ nhân dân miền Nam Ethiopia,Ethiopian People's Revolutionary Democratic Front,,,,,,,,,,,,,,,,
373,Hamid Karzai,Person,https://vi.wikipedia.org/wiki/Hamid_Karzai,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Himachal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirwais Malalai Howsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashraf Ghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeenat Karzai (1999),,,,,,,,,,,,,Afghan,,,,,,"24 tháng 12, 1957; (67 tuổi); Karz; ,; Kandahar; ,; Vương quốc Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burhanuddin Rabbani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Độc lập,,,,,,,,,,,,,,,,,
374,Halimah Yacob,Person,https://vi.wikipedia.org/wiki/Halimah_Yacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Quốc gia Singapore ( LLB , LLM )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jurong GRC ( Bukit Batok East ),,Marsiling-Yew Tee GRC ( Marsiling ),,,,Rahayu Mahzam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Chong; Lim Biow Chuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammed Abdullah Alhabshee,,,,,,,,,,,,,,,,,,,23 tháng 8; năm; 1954; (71 tuổi); Thuộc địa Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lý Hiển Long,,,,,Michael Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Độc lập Đảng Hành động Nhân dân,,,,,,,,,,,,,,,,,
375,Hara Takashi,Person,https://vi.wikipedia.org/wiki/Hara_Takashi,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Tokyo (Chưa hoàn thành),,,,,,,,,,,,,,,,,,,,,,,,,,,Chuyển tự Rōmaji Hara Takashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はら たかし,,,,,,,,,,,,,,,,,,,,原 敬,,,,,,,,Uchida Kosai (Quyền),,,,,,,,,,,,,,,,,,,,,,,"4 tháng 11 năm 1921 (65 tuổi); Tokyo; ,; Đế quốc Nhật Bản",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hara Takashi,,,"9 tháng 2 năm 1856; Morioka; ,; Lãnh thổ Nanbu; , Nhật Bản",,,,,,,,,,,,Đại Chính,,,,,,,,,,,,,,,,,,,,,,,,,Terauchi Masatake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Công giáo Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rikken Seiyūkai,,,,,,,,,,,,,,,,,
376,Harold Alexander,Person,https://vi.wikipedia.org/wiki/Harold_Alexander,,,,,,,,,,,,,,,,,,,,,,,,,"Trường Harrow Royal Military College, Sandhurst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bộ Tư lệnh Tối cao Lực lượng Đồng Minh Cụm tập đoàn quân số 15 Cụm tập đoàn quân số 18 Bộ Tư lệnh Trung Đông Bộ Tư lệnh Phương Nam Quân đoàn 1 Sư đoàn Bộ binh số 1 Lữ đoàn bộ binh Ấn Độ số 7 (Lữ đoàn Nowshera) Tiểu đoàn 1, Irish Guards Tiểu đoàn 2, Irish Guards Baltische Landeswehr",,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| Lady Rose Maureen Alexander Shane Alexander, Bá tước Alexander đệ nhị của Tunis Brian James Alexander}}",,,,,,,,,,,,,,,Thống chế,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shane Alexander, Bá tước Alexander đệ nhị của Tunis",,,,,,,,,,,,,,,,,,,,,,,"16 tháng 6 năm 1969; (1969-06-16); (77 tuổi); Slough; ,; Buckinghamshire; , Anh Quốc",,,,,,,,,,,,,,,,,,,,,,,"1 tháng 3, 1946 – 16 tháng 6, 1969; Hereditary Peerage",,,,,,,1911–1946 [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lục quân Anh,,,,,,,,,,,,,,,,"(; 1891-12-10; ); 10 tháng 12 năm 1891; Luân Đôn; , Anh Quốc",,,,,,,,,,,Chiến tranh thế giới thứ nhất Chiến tranh giải phóng Latvia Chiến dịch Mohmand 1935 Chiến tranh thế giới thứ hai,,nước Anh,,,,,,,,,,,,,,,,,,,,,,,,Danh xưng quý tộc này được tạo mới,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irish Guards,,,,,,,,,,,,,,,,,,,,,,
377,Harold Holt,Person,https://vi.wikipedia.org/wiki/Harold_Holt,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,Công tố viên; Chính trị gia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cao đẳng Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Bourke,,,,,,,,,,,,,,,,,,,,,,,"17 tháng 12; năm; 1967; (59 tuổi); Mũi Nepean; ,; Victoria; ,; Úc",,,,,Luật sư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zara Dickins Fell; (cưới 1947⁠–⁠; wid.; 1967),,,,,,,,,,,,,,,,,,,"Harold Edward Holt; 5 tháng 8; năm; 1908; Stanmore, New South Wales; ,; Úc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Menzies,,,,,George Maxwell,Lord Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Tự do (sau 1945),Đảng Nước Úc Thống nhất (đến 1945),,,,,,,,,,,,,,,,
378,Han Duck-soo,Person,https://vi.wikipedia.org/wiki/Han_Duck-soo,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Harvard; Đại học Quốc gia Seoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwon O-kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choi Ah-young,,,,,,,,,,,,,,,,,,,"18 tháng 6, 1949; (76 tuổi); Jeonju; ,; Jeollabuk-do; ,; Hàn Quốc; [; 1; ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Hae-chan; Han Myeong-sook,,,,,Lee Hun-jai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Myung-bak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Độc lập,,,,,,,,,,,,,,,,,
379,Giáo hoàng Lêô XIV,Person,https://vi.wikipedia.org/wiki/Gi%C3%A1o_ho%C3%A0ng_L%C3%AA%C3%B4_XIV,,,,,,,,,,,,,,,,,,,,,,,,,Viện Đại học Villanova Học viện Hiệp hội Thần học Công giáo Viện Giáo hoàng Đại học Thánh Thomas Aquinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xem danh sách Hồng y đẳng giám mục Hiệu tòa Albano (2025) Chủ tịch Ủy ban Tòa Thánh về Châu Mỹ Latinh (2023–2025) Tổng trưởng Bộ Giám mục (2023–2025) Hồng y đẳng phó tế Nhà thờ Thánh Monica (2023–2025) Giám mục Chính tòa Chiclayo (2015–2023) Giám quản Tông tòa Chiclayo (2013–2015) Giám mục Hiệu tòa Sufar (2014–2015) Bề trên Tổng quyền Dòng Thánh Augustinô (2001–2013) Bề trên Giám tỉnh Tỉnh dòng Đức Mẹ Chỉ Bảo Đàng Lành (1998–2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồng y đẳng phó tế (2023‍–‍2025) Hồng y đẳng giám mục (2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện Tông Tòa , Thành Vatican",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ Perú (từ 2015) Thành Vatican (từ 2023),,,,,,"14 tháng 9, 1955; (70 tuổi); Chicago; ,; Illinois; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 tháng 6 năm 1982; bởi; Jean Jadot,,,,,,,Giáo hoàng Phanxicô,,,,,,,,,,,,,,,,,,,,,,,Robert Francis Prevost,,,,,,,,,,,12 tháng 12 năm 2014; bởi; James Patrick Green,,,,,,,,,,,,,,,,,,,,,,,8 tháng 5 năm 2025; 175 ngày,,,30 tháng 9 năm 2023; bởi; Giáo hoàng Phanxicô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Harold Macmillan,Person,https://vi.wikipedia.org/wiki/Harold_Macmillan,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Balliol, Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Macmillan; Caroline Faber; Catherine Amery; Sarah Heath,,,,,,,,,,,,,,,Đại uý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Fox Riley,,,,,,,,,,,,,,,,,,,,,,,"29 tháng 12; năm; 1986; (92 tuổi); Chelwood Gate; ,; Tây Sussex; ,; Vương quốc Liên hiệp Anh và Bắc Ireland",,,,,Nhà xuất bản,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nhà thờ St Giles, Horsted Keynes",,,,,,,,,,,Elizabeth II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lady Dorothy Cavendish (1920–1966),,,Quân đội Anh,,,,,,,,,,,,,,,,"Maurice Harold Macmillan; 10 tháng 2; năm; 1894; Belgravia; ,; Middlesex; ,; Vương quốc Liên hiệp Anh và Ireland",,,,,,,,,,,Chiến tranh Thế giới thứ nhất,,Vương quốc Liên hiệp Anh và Ireland,,,,,,,,,,,,,,,,,,,Winston Churchill,,,,,Robert Strother Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huy chương Công đức; Peerage,Huy chương Chiến thắng; Huy chương Chiến tranh Anh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lính ném lựu đạn,,,,,Bảo thủ,,,,,,,,,,,,,,,,,
381,Harold Wilson,Person,https://vi.wikipedia.org/wiki/Harold_Wilson,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Jesus, Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robin Wilson; Giles Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Cross,,,,,,,,,,,,,Hugh Gaitskell,,,,,,,,,,"23 tháng 5; năm; 1995; (79 tuổi); London; ,; Vương quốc Liên hiệp Anh và Bắc Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's Old Church , St Mary's, Isles of Scilly , Anh",,,,,,,,,,,Elizabeth II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Baldwin (1940–1995),,,,,,,,,,,,,,,,,,,"James Harold Wilson; 11 tháng 3; năm; 1916; Huddersfield; ,; West Riding of Yorkshire; ,; Vương quốc Liên hiệp Anh và Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clement Attlee,,,,,Stephen King-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Công đảng,,,,,,,,,,,,,,,,,
382,Harri Holkeri,Person,https://vi.wikipedia.org/wiki/Harri_Holkeri,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Helsinki,,,,,,,,,,,,,,,,,,,,,,,,,,Thạc sĩ Khoa học chính trị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Søren Jessen-Petersen,,,,,,,,,,,,,,,,,,,,,,,"7 tháng 8; năm; 2011; (74 tuổi); Helsinki; ,; Phần Lan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalevi Sorsa; (1987–1989); Pertti Paasio; (1989–1991),,,,,,,,,,,,,,,,,,,,,,Marja-Liisa Lepistö,,,,,,,,,,,,,,,,,,,"6 tháng 1; năm; 1937; Oripää; ,; Phần Lan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Steiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauno Koivisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Liên minh Dân tộc,,,,,,,,,,,,,,,,,
